id,nombre,horasTrabajadas,sueldo
1,Jamaal,42,32210
2,Mahmud,46,31643
3,Gaston,41,44664
4,Taylor,28,32317
5,Mycah,25,36583
6,Karlik,28,36982
7,Rey,21,49681
8,Jarred,9,49484
9,Jamaal,14,34817
10,Herman,41,40595
11,Vanya,16,34955
12,Antone,30,30716
13,Bourke,20,36469
14,Walton,48,36132
15,Durant,50,41328
16,Brantley,34,42223
17,Elden,43,44569
18,Iosep,12,32816
19,Hartley,24,41505
20,Benedicto,8,39521
21,Lyman,43,33678
22,Iorgo,8,49664
23,Gasparo,8,49249
24,Land,35,43499
25,Gawen,52,31560
26,Janos,24,33203
27,Yorgos,38,45024
28,Alfy,53,38815
29,Skippy,44,48993
30,Marshall,17,49003
31,Orson,34,35879
32,Daniel,43,43277
33,Galven,0,31520
34,Iago,60,37370
35,Hamid,55,34383
36,Tabbie,53,35072
37,Vaughan,46,34396
38,Gill,4,39592
39,Owen,55,42735
40,Trever,54,48762
41,Hermon,43,41503
42,Obadiah,5,33678
43,Russell,51,36851
44,Brit,19,34096
45,Garret,1,39884
46,Gav,16,43991
47,Ned,13,34883
48,Aubrey,12,30351
49,Robbert,7,30966
50,Zachariah,36,37771
51,Nat,11,49593
52,Augy,60,38521
53,Mason,14,30592
54,Riccardo,24,42373
55,Richardo,38,48492
56,Kenny,14,31848
57,Christopher,28,32883
58,Rudolph,5,33850
59,Errick,25,34851
60,Ruddie,54,48681
61,Currie,31,43186
62,Shermy,55,44187
63,Niki,33,35506
64,Tommy,4,41908
65,Bertie,49,49484
66,Wilburt,39,34513
67,Redd,10,37246
68,Vaclav,41,38578
69,Ferrel,24,40331
70,Putnem,1,43695
71,Jordan,32,42266
72,Griswold,36,39104
73,Yves,1,45806
74,Nickolai,8,35547
75,Aldridge,20,43216
76,Ernie,29,34862
77,Clyde,53,44259
78,Ferdinand,27,47558
79,Hagen,20,39912
80,Neil,54,34806
81,Patten,11,31449
82,Tiebold,30,31896
83,Elvin,24,41238
84,Corrie,54,48705
85,Elihu,22,46001
86,Thurstan,37,48848
87,Guthrey,40,42205
88,Dov,4,39145
89,Kristofor,3,46809
90,Onfre,12,49757
91,Torrin,41,37779
92,Tracie,4,40841
93,Hashim,13,35040
94,Rickert,20,33346
95,Dietrich,12,33123
96,Olivier,23,48566
97,Hendrick,58,44169
98,Giulio,10,35660
99,Hillard,25,49116
100,Leonard,54,39777
101,Lyell,4,30466
102,Dermot,12,45393
103,Rafaello,24,38444
104,Burt,5,46212
105,Aymer,18,41692
106,Flinn,7,44565
107,Raimondo,50,31997
108,Grantham,1,32672
109,Randolf,34,38421
110,Ike,42,35851
111,Jackson,49,33793
112,Greggory,56,35726
113,Sawyere,3,44892
114,Tobiah,8,46692
115,Ashley,21,45680
116,Gayler,50,41215
117,Duff,26,37933
118,Ram,30,34341
119,Adler,34,32076
120,Oren,54,36339
121,Calv,57,49082
122,Dun,1,49458
123,Chaddie,4,43079
124,Zelig,52,30802
125,Lennard,19,36103
126,Shermie,56,38578
127,Early,9,49869
128,Frasco,20,49499
129,Michal,37,34803
130,Vassily,57,32862
131,Chrotoem,35,48634
132,Marven,34,39094
133,Osbourn,32,42966
134,Errol,19,36971
135,Eli,33,47819
136,Cal,54,39650
137,Worden,33,30937
138,Vaughan,56,40503
139,Waite,40,35080
140,Janek,35,44799
141,Emlen,49,41935
142,Georg,45,40361
143,Jon,31,38487
144,Gradey,26,44383
145,Calvin,51,32745
146,Ahmed,49,39300
147,Heriberto,50,46257
148,Hirsch,52,32206
149,Bing,20,42494
150,Inglis,58,45599
151,Sonnie,7,42560
152,Hewett,8,37613
153,Matthus,12,36733
154,Herculie,8,49486
155,Rutger,35,32760
156,Courtnay,41,43695
157,Kilian,15,48058
158,Freeman,49,31302
159,Brander,46,45609
160,Alejandro,55,38475
161,Dante,14,36167
162,Yule,11,36901
163,Nikki,21,35698
164,Oswald,55,38810
165,Mickey,23,34728
166,Jack,47,47621
167,Nils,60,32966
168,Luce,37,40190
169,Derward,21,41222
170,Roger,43,40964
171,Johnathon,40,49662
172,Zach,60,38494
173,Justen,49,41614
174,Connie,36,46106
175,Derick,21,35627
176,Glenn,46,33598
177,Reinald,27,40715
178,Armando,36,31587
179,Ase,39,32753
180,Dex,52,39164
181,Leon,23,30792
182,Arvy,39,35829
183,Kin,19,37123
184,Walt,40,38618
185,Gene,14,47245
186,Wainwright,56,33968
187,Ethe,12,43937
188,Wiley,59,37768
189,Ingra,22,47622
190,Kelby,3,37847
191,Hasheem,47,39805
192,Romeo,6,48861
193,Rustin,34,40708
194,Richard,15,40926
195,Frederick,41,46106
196,Eli,48,38075
197,Teddie,49,46983
198,Rourke,26,40428
199,Conway,48,49816
200,Abby,15,45939
201,Antone,7,35115
202,Broderic,17,44118
203,Whitman,40,44179
204,Malcolm,58,36066
205,Ugo,21,42847
206,Wyatt,22,34519
207,Jarret,12,44286
208,Winifield,59,40843
209,Jonathan,43,47615
210,Doug,19,47377
211,Elwyn,47,47466
212,Federico,13,43220
213,Bill,48,37202
214,Clement,41,41622
215,Roderic,48,33768
216,Reinaldos,29,42288
217,Bryon,26,41995
218,Donavon,56,46804
219,Mickie,9,40451
220,Bram,16,43936
221,Wiatt,20,38026
222,Agosto,35,38347
223,Frants,54,38174
224,Barret,40,34430
225,Javier,40,41622
226,Shadow,38,30279
227,Rainer,11,32552
228,Chadd,14,43201
229,Traver,11,41777
230,Valdemar,29,39321
231,Kevon,3,45163
232,Ced,27,45978
233,Dell,6,44249
234,Ross,54,40814
235,Josias,37,48655
236,Merell,41,44602
237,Staford,31,45823
238,Terrill,28,34011
239,Rance,2,35931
240,Franciskus,0,33357
241,Gregorio,8,47128
242,Findlay,53,48682
243,Jessie,54,33348
244,Correy,47,46709
245,Ermanno,19,36053
246,Antoine,47,33652
247,Roderic,15,46467
248,Orion,1,40732
249,Obie,1,44710
250,Wilhelm,38,44482
251,Standford,20,49068
252,Leo,30,35596
253,Orville,34,46510
254,Valentin,24,34940
255,Zebulen,12,46777
256,Kaspar,53,35048
257,Galen,11,49703
258,Felizio,1,44774
259,Terrence,19,49955
260,Hershel,19,32148
261,Townie,34,31183
262,Aldwin,25,47553
263,Tiebout,18,36152
264,Reggy,35,38672
265,Dionysus,5,30021
266,Harwilll,34,33848
267,Duffy,42,44151
268,Jerrie,6,43156
269,Stanfield,0,46197
270,Nolan,48,43943
271,Justen,39,49145
272,Thornie,55,40628
273,Giustino,53,37380
274,Alwyn,16,38652
275,Erastus,40,30170
276,Vance,55,36016
277,Marco,20,39309
278,Towney,13,47004
279,Joshuah,3,48067
280,Yorgo,3,48353
281,Ange,11,46595
282,Waylen,51,48929
283,Donn,17,42613
284,Adolpho,38,48376
285,Evan,0,43392
286,Ivan,23,48085
287,Emery,51,30590
288,Gayler,27,36880
289,Hakim,37,46574
290,Maynard,39,41233
291,Quinton,43,46205
292,Alfonso,20,37206
293,Dalis,47,40347
294,Egor,9,44201
295,Correy,23,46089
296,Nicolai,36,36390
297,Say,14,34468
298,Abelard,34,38227
299,Clemmie,13,39839
300,Farlee,53,32072
301,Lorens,17,45553
302,Nappy,50,36589
303,Towny,30,47283
304,Ben,55,36786
305,Clemens,16,39608
306,Osgood,48,47769
307,Osbourne,17,49830
308,Arlen,39,30452
309,Berny,16,39754
310,Udale,40,40530
311,Beau,45,33155
312,Hartwell,20,40679
313,Alvie,1,47591
